"time_iso","time_ms","time_s"," "," "," "," "," "," "," "," "," "," "
"2026-07-15T10:42:05.762Z","12523","12.523","-9.71","-2.2","-46.7","0","-47","0","256.3","317.9","2","14.88"
"2026-07-15T10:42:05.822Z","12583","12.583","-10.6","-2.34","-35.2","0","-35","0","255.4","317.8","3","15.15"
"2026-07-15T10:42:05.879Z","12640","12.640","-2.68","-2.61","-32","0","-32","0","263.4","317.7","2","15.26"
"2026-07-15T10:42:05.936Z","12697","12.697","-1.18","-2.26","0","0","0","0","265.4","317.6","3","15.6"
"2026-07-15T10:42:06.064Z","12825","12.825","0.56","-2.34","0","0","0","0","267.4","317.6","3","15.6"
"2026-07-15T10:42:06.128Z","12889","12.889","3.91","-2.48","0","0","0","0","270.8","317.5","3","14.43"
"2026-07-15T10:42:06.186Z","12947","12.947","6.12","-2.72","0","0","0","0","272.1","317.4","3","14.85"
"2026-07-15T10:42:06.246Z","13007","13.007","7","-2.4","0","0","0","0","273.3","317.4","3","15.16"
"2026-07-15T10:42:06.303Z","13064","13.064","-4.4","-3.51","0","0","0","0","262.2","316.4","2","15.57"
"2026-07-15T10:42:06.427Z","13188","13.188","-4.89","-3.62","0","0","0","0","261.2","316.2","3","15.58"
"2026-07-15T10:42:06.492Z","13253","13.253","-18.94","-3.93","-98.2","0","-98","0","248","316","2","14.46"
"2026-07-15T10:42:06.549Z","13310","13.310","-22.19","-4.26","-95.2","0","-95","0","243.8","315.9","3","14.88"
"2026-07-15T10:42:06.614Z","13375","13.375","-26.83","-4.41","-68.3","0","-68","0","239.9","315.8","3","14.99"
"2026-07-15T10:42:06.670Z","13431","13.431","-31.32","-4.56","0","0","0","0","236.6","315.7","3","15.2"
"2026-07-15T10:42:06.794Z","13555","13.555","-18.98","-5.59","-121.3","0","-121","0","250","314.7","2","15.23"
"2026-07-15T10:42:06.862Z","13623","13.623","-24.92","-5.89","-147.3","-28","-147","-28","244.2","314.3","2","14.13"
"2026-07-15T10:42:06.926Z","13687","13.687","-27.72","-5.86","-120.5","-28","-121","-28","242.3","314.1","3","14.69"
"2026-07-15T10:42:06.987Z","13748","13.748","-32.89","-7.71","-83.6","-28","-84","-28","240.6","313.9","3","14.95"
"2026-07-15T10:42:07.036Z","13797","13.797","-21.82","8.54","-136.8","0","-137","0","253.3","330.7","2","15.29"
"2026-07-15T10:42:07.098Z","13859","13.859","-22.16","16.35","-130.7","53.5","-131","53","254.6","339","2","15.27"
