"time_iso","time_ms","time_s"," "," "," "," "," "," "," "," "," "," "
"2026-07-15T10:40:40.851Z","56","0.056","0.4","-0.19","0","0","0","0","265.3","321.3","2","37.41"
"2026-07-15T10:40:40.917Z","122","0.122","-1.75","-0.46","0","0","0","0","263.3","320.9","2","34.55"
"2026-07-15T10:40:40.979Z","184","0.184","-2.48","0.15","0","0","0","0","262.7","320.8","2","35.65"
"2026-07-15T10:40:41.034Z","239","0.239","-2.56","-1","0","0","0","0","262.5","320.7","2","36.56"
"2026-07-15T10:40:41.091Z","296","0.296","-2.33","-0.24","0","0","0","0","262.6","320.8","2","37.09"
"2026-07-15T10:40:41.149Z","354","0.354","-2.53","-0.87","0","0","0","0","262.7","320.8","2","35.84"
"2026-07-15T10:40:41.203Z","408","0.408","-2.51","-0.32","0","0","0","0","262.8","320.8","2","36.39"
"2026-07-15T10:40:41.262Z","467","0.467","-1.93","-0.4","0","0","0","0","262.9","320.8","2","36.98"
"2026-07-15T10:40:41.316Z","521","0.521","-1.72","-0.68","0","0","0","0","263.3","320.2","2","37.1"
"2026-07-15T10:40:41.370Z","575","0.575","-2.5","-0.44","0","0","0","0","262.5","320.8","2","37.04"
"2026-07-15T10:40:41.444Z","649","0.649","-5.41","0.7","-15.9","0","-16","0","259.4","322","2","35.95"
"2026-07-15T10:40:41.495Z","700","0.700","-8.61","3.35","-28.4","0","-28","0","256.4","324.3","2","36.54"
"2026-07-15T10:40:41.546Z","751","0.751","-11.53","3.5","-49.4","0","-49","0","253.5","324.9","2","36.97"
"2026-07-15T10:40:41.600Z","805","0.805","-12.15","3.06","-68.9","0","-70","0","252.7","324.5","2","36.71"
"2026-07-15T10:40:41.690Z","895","0.895","-10.92","4.23","-49.5","0","-50","0","253.9","323.9","2","35.89"
"2026-07-15T10:40:41.762Z","967","0.967","3.69","-2.08","22.4","0","22","0","269","319.6","2","32.45"
"2026-07-15T10:40:41.814Z","1019","1.019","7.59","-1.86","14.6","0","15","0","275","317.9","3","33.8"
"2026-07-15T10:40:41.869Z","1074","1.074","8.88","-3.69","33.7","-13.3","34","-13","276.8","317.7","2","35.23"
"2026-07-15T10:40:41.934Z","1139","1.139","11.48","-4.08","38.4","-13.9","38","-13","277.2","317.6","2","34.56"
"2026-07-15T10:40:41.995Z","1200","1.200","8.55","-2.14","37.6","0","38","0","275.9","319.2","2","33.54"
"2026-07-15T10:40:42.049Z","1254","1.254","10.45","-0.32","37.3","0","37","0","274.7","321.3","2","34.25"
"2026-07-15T10:40:42.104Z","1309","1.309","8.65","1.32","35.3","0","35","0","272.8","322.8","2","34.91"
"2026-07-15T10:40:42.159Z","1364","1.364","5.57","1.77","25.5","0","26","0","269.6","323.2","2","34.95"
"2026-07-15T10:40:42.216Z","1421","1.421","-0.6","2.36","0","0","0","0","267.3","323.5","2","35.33"
"2026-07-15T10:40:42.266Z","1471","1.471","0.77","4.31","0","0","0","0","265.4","324.1","3","35.69"
"2026-07-15T10:40:42.316Z","1521","1.521","-1.52","2.76","0","0","0","0","263.9","324.6","3","37.03"
"2026-07-15T10:40:42.395Z","1600","1.600","-3.5","3.79","0","0","0","0","261.9","325.3","3","39.55"
"2026-07-15T10:40:42.517Z","1722","1.722","2.03","0.92","0","0","0","0","267.4","322.7","2","38.74"
"2026-07-15T10:40:42.575Z","1780","1.780","0.09","0.25","0","0","0","0","265.4","321.8","2","36.11"
"2026-07-15T10:40:42.627Z","1832","1.832","-1.16","-0.35","0","0","0","0","264.7","321.4","3","37.3"
"2026-07-15T10:40:42.670Z","1875","1.875","-1.62","-0.46","0","0","0","0","264","321.1","3","38.44"
"2026-07-15T10:40:42.741Z","1946","1.946","-4.32","-0.98","0","0","0","0","263.1","320.7","3","39.59"
"2026-07-15T10:40:42.804Z","2009","2.009","-3.21","-0.66","0","0","0","0","262.5","320.4","3","38.68"
"2026-07-15T10:40:42.874Z","2079","2.079","-4.26","-1.01","0","0","0","0","261.8","320.1","3","41.18"
"2026-07-15T10:40:42.945Z","2150","2.150","0","0","0","0","0","0","0","0","0","40.38"
"2026-07-15T10:40:43.022Z","2227","2.227","0","0","0","0","0","0","0","0","0","41.33"
"2026-07-15T10:40:43.073Z","2278","2.278","0","0","0","0","0","0","0","0","0","40.54"
"2026-07-15T10:40:43.144Z","2349","2.349","0","0","0","0","0","0","0","0","0","40.96"
"2026-07-15T10:40:43.193Z","2398","2.398","0","0","0","0","0","0","0","0","0","40.31"
"2026-07-15T10:40:43.268Z","2473","2.473","0","0","0","0","0","0","0","0","0","41.96"
"2026-07-15T10:40:43.322Z","2527","2.527","0","0","0","0","0","0","0","0","0","40.48"
"2026-07-15T10:40:43.393Z","2598","2.598","0","0","0","0","0","0","0","0","0","40.92"
"2026-07-15T10:40:43.481Z","2686","2.686","0","0","0","0","0","0","0","0","0","40.78"
"2026-07-15T10:40:43.547Z","2752","2.752","0","0","0","0","0","0","0","0","0","37.09"
"2026-07-15T10:40:43.609Z","2814","2.814","-39.54","-7.98","-205.5","-27.4","-205","-26","225.7","313.2","2","37.48"
"2026-07-15T10:40:43.662Z","2867","2.867","-42.48","-8.29","-133.6","-17.8","-134","-18","223.4","312.6","3","37.86"
"2026-07-15T10:40:43.713Z","2918","2.918","-38.55","2.79","-203.9","21","-204","21","230.7","324.7","2","37.22"
"2026-07-15T10:40:43.772Z","2977","2.977","-34.11","6.18","-176.7","26.9","-177","27","235.8","328.2","2","36.64"
"2026-07-15T10:40:43.836Z","3041","3.041","-30.3","6.91","-152.5","29.7","-153","29","239.9","328.8","2","35.29"
"2026-07-15T10:40:43.892Z","3097","3.097","-27.24","6.89","-136.5","30","-137","30","243.5","328.5","2","35.77"
"2026-07-15T10:40:43.973Z","3178","3.178","-20.3","4.28","-98.9","22.1","-99","22","251.7","327","2","34.54"
"2026-07-15T10:40:44.040Z","3245","3.245","-15.4","4.19","-85.3","19.9","-85","20","257.5","326.7","3","32.2"
"2026-07-15T10:40:44.106Z","3311","3.311","-10.94","4.11","0","0","0","0","262.6","326.6","3","31.66"
"2026-07-15T10:40:44.162Z","3367","3.367","-19.44","3.82","-100.7","14.3","-101","15","254","326.4","2","33.68"
